name,geoid,state_name,county_name,city_name,median_household_income,median_household_income_moe,average_household_income,average_household_income_moe,per_capita_income,per_capita_income_moe,percent_of_households_with_incomes_200000_or_more,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_under_25_years_moe,householder_25_to_44_years,householder_25_to_44_years_moe,householder_45_to_64_years,householder_45_to_64_years_moe,householder_65_years_and_over,householder_65_years_and_over_moe,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more
98072,86000US98072,Washington,King; Snohomish,Bothell; Clearview; Cottage Lake; Kirkland; Maltby; Woodinville,"117,704","6,787","155,866","9,209","60,690","3,271",0,0,"41,650","18,497","128,211","12,351","141,409","17,601","73,367","7,764","9,205",691,841,"1,195","1,087","1,780","1,405","2,206"
98074,86000US98074,Washington,King,Sammamish,"188,900","7,304","221,854","9,726","73,208","2,988",0,0,-1,-1,"211,875","11,688","187,624","8,636","101,875","26,179","9,455",237,418,491,578,"1,612","1,686","4,433"
98075,86000US98075,Washington,King,Issaquah; Sammamish,"178,697","12,445","214,861","10,943","70,782","3,638",0,0,-1,-1,"180,027","22,427","213,900","10,195","95,625","21,582","7,860",283,414,344,586,"1,508","1,333","3,392"
98077,86000US98077,Washington,King; Snohomish,Cottage Lake; Maltby; Union Hill-Novelty Hill,"166,400","16,121","221,823","17,381","75,894","6,075",0,0,-1,-1,"194,659","29,063","189,659","22,674","108,155","20,694","4,566",172,347,288,439,796,603,"1,921"
98087,86000US98087,Washington,Snohomish,Lake Stickney; Larch Way; Lynnwood; Martha Lake; North Lynnwood; Picnic Point,"76,863","4,248","91,891","5,057","33,699","2,140",0,0,"58,893","13,861","87,087","10,424","81,006","6,347","47,036","6,343","14,677","1,484","2,694","2,890","2,460","2,864","1,387",898
98092,86000US98092,Washington,King; Pierce,Auburn; Black Diamond; Kent; Lake Holm; Lake Morton-Berrydale; Lake Tapps,"92,376","5,112","111,396","4,124","38,942","1,572",0,0,"58,380","21,166","90,690","9,831","108,540","5,478","65,169","7,568","16,397","1,309","2,322","2,872","2,330","3,469","2,176","1,919"
98101,86000US98101,Washington,King,Seattle,"80,389","8,361","116,277","9,595","79,796","6,001",0,0,"62,115","43,617","97,147","14,479","80,608","39,277","42,572","6,369","9,199","1,732","1,346","1,280","1,035","1,369",960,"1,477"
98102,86000US98102,Washington,King,Seattle,"91,466","4,643","126,345","7,785","76,661","4,334",0,0,"62,779","11,566","93,666","9,090","109,276","19,253","73,594","28,209","15,650","1,556","2,032","2,726","2,170","2,799","2,051","2,316"
98103,86000US98103,Washington,King,Seattle,"105,177","3,928","133,001","4,224","63,719","1,882",0,0,"59,476","11,188","117,642","6,898","119,368","11,729","61,753","13,891","24,994","2,218","3,078","3,522","3,081","4,988","3,070","5,037"
98104,86000US98104,Washington,King,Seattle,"53,407","6,151","89,598","8,141","53,390","5,202",0,0,"37,888","20,318","78,538","6,323","30,288","17,014","29,643","12,082","8,286","2,732","1,255",992,847,"1,110",516,834
98105,86000US98105,Washington,King,Seattle,"62,582","5,346","118,967","7,742","42,401","2,607",0,0,"14,781","4,663","75,717","7,834","138,304","24,009","79,746","9,551","17,146","4,638","2,829","2,277","1,416","1,685","1,307","2,994"
