zipcode,city_name,monthly_mean_income
98373,Clover Creek; Puyallup; South Hill; Summit; Summit View,7644
99021,Green Bluff; Mead,7628
98252,Canyon Creek; Granite Falls; Lake Bosworth; Lochsloy; Snohomish; Verlot,7617
98513,Lacey; Nisqually Indian Community,7612
98260,Langley,7596
98220,Acme,7588
99345,,7578
98203,Eastmont; Everett,7574
98262,,7567
98683,Vancouver,7565
98198,Des Moines; Federal Way; Kent; Normandy Park; SeaTac,7556
98359,Burley,7528
98108,Boulevard Park; Seattle; Tukwila; White Center,7525
98524,Allyn; Grapeview; Vaughn,7517
99354,Richland,7507
98446,Clover Creek; Frederickson; Summit,7490
98664,Vancouver,7473
98104,Seattle,7467
98802,East Wenatchee; Rock Island,7462
98133,Seattle; Shoreline,7448
98188,Kent; Renton; SeaTac; Tukwila,7435
98240,Custer,7427
98682,Brush Prairie; Camas; Hockinson; Orchards; Vancouver,7409
99026,Spokane,7391
99027,Otis Orchards-East Farms; Spokane Valley,7389
98037,Larch Way; Lynnwood; Martha Lake; Meadowdale; North Lynnwood,7378
98546,Grapeview,7358
98230,Birch Bay; Blaine,7352
98466,Fircrest; Tacoma; University Place,7334
99103,Almira,7329
98506,Olympia,7321
98043,Edmonds; Lynnwood; Mountlake Terrace; Shoreline,7314
99031,Spangle,7311
98811,,7307
98294,Everett; Gold Bar; North Sultan; Startup; Sultan,7276
98106,Seattle; White Center,7275
98263,Lyman,7242
98834,Methow,7238
98908,Ahtanum; Eschbach; Gleed; Summitview; Yakima,7235
98672,Bingen; White Salmon,7218
98245,,7198
99025,Otis Orchards-East Farms,7180
98354,Edgewood; Fife; Milton,7170
98387,Elk Plain; Frederickson; Graham; Parkland; South Creek; Spanaway,7167
98279,,7163
98498,Lakewood; McChord AFB; Steilacoom,7157
99323,Burbank,7136
98257,La Conner,7133
99401,,7116
98365,Port Ludlow,7102
