name,geoid,state_name,county_name,city_name,median_household_income,median_household_income_moe,average_household_income,average_household_income_moe,per_capita_income,per_capita_income_moe,percent_of_households_with_incomes_200000_or_more,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_under_25_years_moe,householder_25_to_44_years,householder_25_to_44_years_moe,householder_45_to_64_years,householder_45_to_64_years_moe,householder_65_years_and_over,householder_65_years_and_over_moe,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more
98070,86000US98070,Washington,King,Vashon,78966,20723,115678,15216,53131,6997,0.135,0.037,-1,-1,84297,40926,114500,15673,51885,12491,4664,651,932,683,395,860,513,630
98072,86000US98072,Washington,King; Snohomish,Bothell; Clearview; Cottage Lake; Kirkland; Maltby; Woodinville,117704,6787,155866,9209,60690,3271,0.24,0.026,41650,18497,128211,12351,141409,17601,73367,7764,9205,691,841,1195,1087,1780,1405,2206
98074,86000US98074,Washington,King,Sammamish,188900,7304,221854,9726,73208,2988,0.469,0.029,-1,-1,211875,11688,187624,8636,101875,26179,9455,237,418,491,578,1612,1686,4433
98075,86000US98075,Washington,King,Issaquah; Sammamish,178697,12445,214861,10943,70782,3638,0.432,0.033,-1,-1,180027,22427,213900,10195,95625,21582,7860,283,414,344,586,1508,1333,3392
98077,86000US98077,Washington,King; Snohomish,Cottage Lake; Maltby; Union Hill-Novelty Hill,166400,16121,221823,17381,75894,6075,0.421,0.048,-1,-1,194659,29063,189659,22674,108155,20694,4566,172,347,288,439,796,603,1921
98087,86000US98087,Washington,Snohomish,Lake Stickney; Larch Way; Lynnwood; Martha Lake; North Lynnwood; Picnic Point,76863,4248,91891,5057,33699,2140,0.061,0.015,58893,13861,87087,10424,81006,6347,47036,6343,14677,1484,2694,2890,2460,2864,1387,898
98092,86000US98092,Washington,King; Pierce,Auburn; Black Diamond; Kent; Lake Holm; Lake Morton-Berrydale; Lake Tapps,92376,5112,111396,4124,38942,1572,0.117,0.018,58380,21166,90690,9831,108540,5478,65169,7568,16397,1309,2322,2872,2330,3469,2176,1919
98101,86000US98101,Washington,King,Seattle,80389,8361,116277,9595,79796,6001,0.161,0.026,62115,43617,97147,14479,80608,39277,42572,6369,9199,1732,1346,1280,1035,1369,960,1477
98102,86000US98102,Washington,King,Seattle,91466,4643,126345,7785,76661,4334,0.148,0.02,62779,11566,93666,9090,109276,19253,73594,28209,15650,1556,2032,2726,2170,2799,2051,2316
98103,86000US98103,Washington,King,Seattle,105177,3928,133001,4224,63719,1882,0.202,0.016,59476,11188,117642,6898,119368,11729,61753,13891,24994,2218,3078,3522,3081,4988,3070,5037
98104,86000US98104,Washington,King,Seattle,53407,6151,89598,8141,53390,5202,0.101,0.018,37888,20318,78538,6323,30288,17014,29643,12082,8286,2732,1255,992,847,1110,516,834
98105,86000US98105,Washington,King,Seattle,62582,5346,118967,7742,42401,2607,0.175,0.016,14781,4663,75717,7834,138304,24009,79746,9551,17146,4638,2829,2277,1416,1685,1307,2994
98106,86000US98106,Washington,King,Seattle; White Center,69110,3498,87301,3906,37806,2015,0.075,0.014,35625,15413,86116,10112,77687,6602,31680,5339,11001,2029,2298,1650,1297,1924,978,825
98107,86000US98107,Washington,King,Seattle,100178,5128,132464,8289,69351,4704,0.18,0.026,71304,43613,111410,12902,117083,11755,40362,8197,14213,1434,1515,2079,2053,3348,1219,2565
98108,86000US98108,Washington,King,Boulevard Park; Seattle; Tukwila; White Center,61547,5107,90304,7096,33269,2566,0.069,0.013,41154,3150,79811,16213,63582,12384,47583,4535,8491,1821,1686,1306,852,1540,700,586
98109,86000US98109,Washington,King,Seattle,106393,7683,137926,7966,79951,4774,0.17,0.02,62583,27074,118692,6133,101315,27248,63547,29070,17342,1316,2032,2171,2514,4060,2299,2950
98110,86000US98110,Washington,Kitsap,Bainbridge Island,117990,9255,144868,8080,60533,3339,0.231,0.025,70642,58934,132179,25480,144397,13997,84266,12870,10115,1017,1006,1113,1195,2175,1277,2332
98112,86000US98112,Washington,King,Seattle,118305,8404,207496,20361,95857,8958,0.306,0.027,45096,19225,124292,12707,147198,16787,84335,8655,11648,1260,1405,1264,1016,2014,1126,3563
98115,86000US98115,Washington,King,Kirkland; Seattle,111569,5109,147430,5933,63327,2455,0.245,0.018,75962,18712,121484,8778,141549,12141,73544,11934,22922,2602,2542,2666,2538,4137,2821,5616
98116,86000US98116,Washington,King,Seattle,121208,7755,146749,8138,70526,3907,0.224,0.023,83304,33954,126849,13427,146467,20184,62146,10692,12997,1145,1278,1612,1368,2427,2259,2908
98117,86000US98117,Washington,King,Seattle,116871,8981,153544,8705,65347,3698,0.242,0.025,-1,-1,132481,12955,128592,10267,60230,7435,14965,1152,1572,1785,1601,3457,1777,3621
98118,86000US98118,Washington,King,Seattle,82216,6750,106475,5968,38751,2489,0.115,0.017,54688,28735,98618,10366,93346,8914,46777,3755,17318,2767,2953,2471,1932,3345,1851,1999
98119,86000US98119,Washington,King,Seattle,96768,7571,143190,11414,70915,5220,0.213,0.025,41250,17150,99557,11332,115425,16524,66486,9044,12769,1357,1970,1623,1633,2283,1185,2718
98121,86000US98121,Washington,King,Seattle,115323,13137,140491,14244,93864,9069,0.234,0.041,55000,14836,131348,13871,104754,47024,-1,-1,12943,2236,1482,1167,939,2650,1439,3030
98122,86000US98122,Washington,King,Seattle,79609,4931,118252,6566,60400,3172,0.173,0.019,42263,10989,91358,9858,97500,19810,41551,7779,19467,3250,3116,2925,1865,3169,1770,3372
98125,86000US98125,Washington,King,Seattle,70744,6061,95556,4153,43606,1663,0.102,0.013,42734,22857,84989,6977,87050,13042,48325,3266,19283,3122,3668,3198,2519,3110,1702,1964
98126,86000US98126,Washington,King,Seattle; White Center,86983,6772,111333,7117,49644,2871,0.149,0.022,39535,3217,111758,7789,95469,14201,45667,6272,10362,1479,1694,1363,1193,2054,1031,1548
98133,86000US98133,Washington,King,Seattle; Shoreline,68994,3866,89379,3237,41067,1412,0.081,0.013,31200,6690,82125,4199,86297,9020,37514,5344,21650,4145,3962,3361,3198,3709,1532,1743
98134,86000US98134,Washington,King,Seattle,83472,45355,105632,29263,36111,12806,0.118,0.181,-1,-1,106923,45627,-1,-1,58750,16440,221,0,28,57,35,63,12,26
98136,86000US98136,Washington,King,Seattle,113750,13028,143156,10089,64679,4462,0.231,0.037,-1,-1,124891,19344,127938,9496,70731,17880,7612,596,780,1027,1088,1482,882,1757
98144,86000US98144,Washington,King,Seattle,78414,5355,120821,10542,53282,4436,0.162,0.021,51087,16253,105625,21204,91875,13894,32938,3838,13947,2396,2566,1753,1419,2327,1223,2263
98146,86000US98146,Washington,King,Burien; Seattle; White Center,78750,7807,100923,6831,38028,2731,0.097,0.017,33259,3831,72157,24133,95769,12493,60139,9926,10200,1246,2176,1537,1124,2183,944,990
98148,86000US98148,Washington,King,Burien; Des Moines; Normandy Park; SeaTac,61455,7216,83242,7784,32316,3166,0.045,0.019,65000,16908,62134,12318,78750,19798,51250,11644,4616,763,1070,937,487,811,338,210
98154,86000US98154,Washington,King,Seattle,-1,-1,-1,-1,-1,-1,-0.01,-0.01,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
98155,86000US98155,Washington,King,Kenmore; Lake Forest Park; Shoreline,94054,4473,114497,4653,45723,1743,0.136,0.017,72917,40927,114564,9519,98410,8072,69884,7999,13602,1388,1960,1715,2171,2896,1624,1848
98158,86000US98158,Washington,King,SeaTac,-1,-1,-1,-1,-1,-1,-0.01,-0.01,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
98164,86000US98164,Washington,King,Seattle,157829,118132,219627,127085,163153,89212,0.372,0.283,-1,-1,-1,-1,-1,-1,-1,-1,129,19,19,0,12,12,19,48
98166,86000US98166,Washington,King,Burien; Normandy Park,83615,6308,111517,9854,46382,3856,0.12,0.022,-1,-1,77705,12563,104569,19109,66061,10909,8786,1199,1343,1438,1271,1443,1039,1053
98168,86000US98168,Washington,King,Boulevard Park; Burien; SeaTac; Tukwila; White Center,59120,4462,74964,4074,27311,1548,0.035,0.009,51000,12861,60082,8776,70657,8311,44674,8775,11818,1962,3100,2083,1722,2011,527,413
98174,86000US98174,Washington,King,Seattle,-1,-1,-1,-1,-1,-1,-0.01,-0.01,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
98177,86000US98177,Washington,King,Seattle; Shoreline,123672,10045,160142,9222,65401,3192,0.258,0.029,-1,-1,140613,16394,152596,10195,79028,12864,8280,735,918,1026,760,1568,1137,2136
98178,86000US98178,Washington,King,Bryn Mawr-Skyway; Renton; Seattle; Tukwila,80283,6394,98171,5724,36475,2557,0.08,0.02,31928,14830,91379,10343,86300,7887,61507,6847,9895,1482,1577,1627,1252,2167,997,793
98188,86000US98188,Washington,King,Kent; Renton; SeaTac; Tukwila,60586,4392,89223,18721,33983,7298,0.047,0.014,53597,16085,61287,8180,75890,10151,46176,4000,9217,1517,2211,1742,1274,1529,510,434
98195,86000US98195,Washington,King,Seattle,-1,-1,-1,-1,-1,-1,-0.01,-0.01,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
98198,86000US98198,Washington,King,Des Moines; Federal Way; Kent; Normandy Park; SeaTac,66906,5724,90677,5671,35051,2074,0.057,0.012,45798,7653,65408,8042,87044,8040,53998,6689,14020,1649,3024,3026,1919,2762,839,801
98199,86000US98199,Washington,King,Seattle,114551,11112,164793,12587,72265,5096,0.27,0.033,57206,40156,126011,23294,136818,15945,67188,16066,9883,765,963,1329,1058,1898,1199,2671
98201,86000US98201,Washington,Snohomish,Everett; Hat Island,57179,3384,74568,3886,33597,1904,0.046,0.011,42500,16941,63949,7315,64003,9076,37411,6640,12942,3039,2649,2629,1633,1715,684,593
98203,86000US98203,Washington,Snohomish,Eastmont; Everett,73840,3554,90892,3967,35761,1605,0.072,0.01,50909,35947,77481,5897,90557,9204,51691,5077,13903,2005,2609,2466,2083,2556,1177,1007
98204,86000US98204,Washington,Snohomish,Everett; Lake Stickney; Mukilteo,55978,2236,66951,3285,27637,1530,0.027,0.011,50030,14558,58195,5103,65507,7260,32995,7725,17032,3004,4425,4007,2604,2069,466,457
98205,86000US98205,Washington,Snohomish,Bunk Foss; Cavalero; Everett; Lake Stevens; Machias; Marysville,96233,4372,105450,5546,36341,2011,0.067,0.016,-1,-1,99212,7597,99881,12608,67169,8526,5203,347,424,883,1150,1432,619,348
98207,86000US98207,Washington,Snohomish,Everett,-1,-1,-1,-1,32558,3403,-0.01,-0.01,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
98208,86000US98208,Washington,Snohomish,Eastmont; Everett; Martha Lake; Mill Creek; Silver Firs,91574,4593,104294,4462,37984,1735,0.079,0.011,38750,31843,97740,5318,110480,4951,46707,7589,20690,2182,3000,3053,3256,5230,2328,1641
98220,86000US98220,Washington,Whatcom,Acme,87500,17625,91052,21689,29535,11834,0,0.135,-1,-1,-1,-1,89006,40708,-1,-1,240,13,25,27,99,76,0,0
98221,86000US98221,Washington,San Juan; Skagit,Anacortes,73802,2266,99114,3304,43937,1325,0.087,0.008,59643,14206,84904,4686,87730,5009,57237,2580,9591,1374,1835,1656,1347,1721,823,835
98222,86000US98222,Washington,San Juan,,96667,10768,141579,47131,79521,29095,0.146,0.117,-1,-1,-1,-1,-1,-1,-1,-1,48,2,10,5,9,11,4,7
98223,86000US98223,Washington,Snohomish,Arlington; Arlington Heights; Bryant; Canyon Creek; Lake Cassidy; Lake Goodwin; Marysville; North Marysville; Oso; Sisco Heights; Swede Heaven,88295,4161,100978,4533,38043,1782,0.073,0.014,41997,8799,96204,2777,102461,6120,52354,5198,16390,1632,2394,2946,2689,3860,1672,1197
98224,86000US98224,Washington,King,Baring,43750,15889,48908,10036,28669,7420,0,0.247,-1,-1,-1,-1,60500,26032,36250,13980,121,25,49,23,21,0,3,0
98225,86000US98225,Washington,Whatcom,Bellingham; Marietta-Alderwood,50184,3346,67486,3020,29077,1366,0.043,0.008,25422,5741,57845,4926,61658,5296,50429,6909,21229,5745,4827,3892,2627,2214,1005,919
98226,86000US98226,Washington,Whatcom,Bellingham; Ferndale; Marietta-Alderwood,64235,4702,83820,4577,34095,1700,0.048,0.01,38010,11851,68505,5537,88627,9985,49881,4107,17584,2948,3499,3558,2451,3008,1276,844
98229,86000US98229,Washington,Skagit; Whatcom,Alger; Bellingham; Geneva; Sudden Valley,71918,4047,93477,5345,37797,2199,0.07,0.014,30919,15380,76500,7078,81902,5156,66496,9668,13132,1828,2665,2315,2059,1897,1447,921
98230,86000US98230,Washington,Whatcom,Birch Bay; Blaine,69529,4081,88222,7603,37780,3339,0.072,0.021,66350,31751,76903,10338,74630,7020,54885,8828,7423,1202,1263,1655,1189,1165,414,535
98232,86000US98232,Washington,Skagit,Alger; Edison,79394,7423,100388,15265,38807,7180,0.056,0.029,-1,-1,63194,41036,105313,19126,71250,13169,1689,67,487,158,339,340,204,94
98233,86000US98233,Washington,Skagit,Alger; Burlington,61330,4885,80263,7844,31481,3053,0.051,0.018,25486,13324,67895,11534,78464,9902,44032,3057,6331,1168,1446,1184,970,824,419,320
98235,86000US98235,Washington,Skagit,Clear Lake,-1,-1,42445,37655,22581,23984,0,0.499,-1,-1,-1,-1,-1,-1,-1,-1,38,12,13,0,10,3,0,0
98236,86000US98236,Washington,Island,Clinton,78650,5916,96673,8480,41636,3310,0.07,0.029,-1,-1,74931,38289,98289,23477,70722,5534,2550,310,412,461,453,515,220,179
98237,86000US98237,Washington,Skagit; Whatcom,Concrete,51823,5606,64351,5194,27151,2469,0.019,0.014,39615,10646,54167,41386,59567,7940,40809,15873,1826,463,415,378,159,247,129,35
98238,86000US98238,Washington,Skagit,Conway,-1,-1,-1,-1,-1,-1,-0.01,-0.01,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
98239,86000US98239,Washington,Island,Coupeville,66592,6900,85015,6809,41103,3428,0.051,0.02,48542,7412,84615,22575,98068,30278,59489,10356,3433,626,683,563,391,716,279,175
98240,86000US98240,Washington,Whatcom,Custer,72647,11747,89118,20555,33366,6510,0.058,0.057,-1,-1,86932,25587,80417,11026,58698,15262,1160,163,165,284,212,241,28,67
98241,86000US98241,Washington,Chelan; Skagit; Snohomish,Darrington; Swede Heaven,44694,5602,56772,7016,25200,3066,0.011,0.017,-1,-1,75000,24365,45804,8536,28580,6379,833,212,256,135,84,119,18,9
98243,86000US98243,Washington,San Juan,,72279,30437,79295,15866,37826,8515,0.04,0.045,-1,-1,53594,34081,64167,34154,102622,32465,277,42,64,36,30,82,12,11
