zipcode,city_name,average_monthly_household_income
99356,Roosevelt,6144.42
99139,Ione,6140.92
98843,,6137.33
98570,Onalaska,6134.08
98837,Cascade Valley; Moses Lake; Moses Lake North,6121.75
98858,Waterville,6117.83
99135,Hartline,6114.83
98617,Dallesport,6114.0
98576,Rainier; Yelm,6094.92
99030,Rockford,6083.75
98591,Toledo,6077.58
98616,,6068.33
99180,Cusick,6058.5
98310,Bremerton; Enetai; Tracyton,6043.92
98953,Buena; Zillah,6040.75
99008,,6037.08
98643,Altoona; Deep River; Grays River; Rosburg; Skamokawa Valley,6029.75
98943,Cle Elum; South Cle Elum,6023.58
98382,Bell Hill; Blyn; Carlsborg; Jamestown; River Road; Sequim,6011.25
98847,,6004.42
98903,Ahtanum; Tampico; Union Gap; Yakima,5991.5
99212,Millwood; Spokane; Spokane Valley,5980.25
98603,,5965.92
98619,Glenwood,5957.92
99206,Millwood; Spokane Valley,5945.17
98408,Tacoma,5944.0
98833,,5943.25
99126,Marcus,5917.92
98418,Tacoma,5912.33
98648,Carson; North Bonneville; Stevenson,5912.17
98856,Twisp,5899.25
99119,Cusick,5898.5
98047,Algona; Auburn; Pacific,5895.25
99350,Prosser,5879.58
99009,,5862.33
98660,Vancouver,5854.08
98358,Marrowstone,5848.58
98612,Cathlamet; East Cathlamet; Lower Elochoman; Puget Island; Skamokawa Valley; Upper Elochoman,5830.92
98584,Shelton; Skokomish,5824.25
99111,Colfax; Steptoe,5824.17
99403,Asotin; Clarkston; Clarkston Heights-Vineland; West Clarkston-Highland,5820.5
98613,Centerville,5810.5
99185,Wilbur,5805.58
99141,Barney's Junction; Barstow; Boyds; Kettle Falls,5805.25
99122,Davenport,5803.42
98538,,5799.42
98402,Tacoma,5784.75
98831,Manson,5762.92
98590,Tokeland,5760.17
99004,Cheney; Four Lakes,5756.25
98557,McCleary,5752.0
98363,Port Angeles,5718.33
98002,Auburn; Kent; Pacific,5706.17
98926,Ellensburg; Kittitas,5705.92
98938,Outlook; Sunnyside,5701.75
99113,Colton,5697.67
98362,Port Angeles; Port Angeles East,5695.5
99102,Albion,5693.08
98405,Tacoma,5690.58
98626,Castle Rock; Kalama; Kelso; Longview; West Side Highway,5689.58
98947,Cowiche; Tieton,5683.33
99218,Country Homes; Fairwood; Spokane; Town and Country,5682.17
98836,Cashmere,5675.42
98605,Bingen; White Salmon,5674.08
98832,Krupp (Marlin),5657.67
98542,,5651.92
98571,Moclips; Pacific Beach,5646.0
98404,Midland; Tacoma; Waller,5633.92
98632,Kelso; Longview; Longview Heights; West Side Highway,5626.17
98225,Bellingham; Marietta-Alderwood,5623.83
99116,Coulee Dam; Elmer City,5612.58
98537,Aberdeen; Cosmopolis; Junction City,5610.0
99357,Royal City,5603.75
98951,Donald; Harrah; Parker; Wapato,5602.67
98822,Entiat,5601.83
99348,Prescott,5597.42
99011,Fairchild AFB,5594.17
99032,Sprague,5593.0
99344,Hatton; Othello,5592.67
98204,Everett; Lake Stickney; Mukilteo,5579.25
98624,Chinook; Ilwaco,5575.83
98639,North Bonneville,5568.08
98930,Grandview,5549.33
98409,Tacoma,5542.75
98610,Carson,5523.58
99123,Electric City; Grand Coulee,5508.08
98541,Elma; Malone; Porter; Satsop,5503.92
99324,College Place; Garrett; Walla Walla,5496.5
99349,Desert Aire; Mattawa,5468.42
98952,White Swan,5453.42
98572,Pe Ell,5450.67
98568,Oakville,5447.5
98635,Dallesport; Klickitat; Lyle,5446.75
98256,Index,5441.0
98520,Aberdeen; Aberdeen Gardens; Central Park; Cosmopolis; Junction City; Markham; Westport,5414.67
98649,,5409.58
99147,,5391.25
99170,Malden; Rosalia,5391.08
98339,Port Hadlock-Irondale,5374.17
98237,Concrete,5362.58
98565,Napavine,5362.17
99159,Odessa,5354.5
98595,Cohassett Beach; Grayland; Westport,5348.33
99205,Spokane; Town and Country,5346.58
99114,Colville,5340.42
98577,Lebam; Raymond; South Bend; Willapa,5328.75
98552,Humptulips; Neilton,5325.92
